ligne_adm,nb_validations
A00674,10328
A00675,2615
A00677,205
A00678,1663
A00679,3009
A00680,92568
A00682,5946
A00683,2645
A00684,4188
A00685,25146
A00686,10293
A00687,835
A00688,1135
A00689,653
A00690,1353
A00691,3762
A00692,2021
A00693,895
A00694,2268
A00695,676
A00696,386
A00699,52535
A00701,1099
A00702,3233
A00703,1773
A00704,8234
A00705,885
A00706,3200
A00707,787
A00708,1963
A00709,618
A00710,2391
A00711,2036
A00712,2072
A00714,708
A00715,2901
A00716,1954
A00717,1398
A00718,22817
A00719,14663
A00720,29145
A00721,5213
A00722,1578
A00723,2229
A00724,831
A00726,18509
A00727,1269
A00728,18053
A00729,18205
A00730,16999
A00731,10534
A00732,12149
A00733,14374
A00734,4817
A00735,3766
A00736,5554
A00737,7004
A00738,106
A00739,46573
A00740,117648
A00741,631
A00742,9203
A00743,50871
A00744,16394
A00745,1689
A00746,9115
A00747,1811
A00748,14896
A00749,13797
A00750,62111
A00752,11482
A00756,69902
A00757,31157
A00758,42791
A00759,92436
A00760,112956
A00761,61279
A00763,4912
A00764,407
A00766,6349
A00768,2297
A00769,24552
A00770,5057
A00771,14062
A00772,10763
A00775,915
A00776,5413
A00778,1701
A00779,10125
A00780,1615
A00781,1968
A00782,72106
A00783,2764
A00784,739
A00785,2661
A00786,210
A00789,4146
A00790,2620
A00791,1464
A00792,8296
A00793,882
A00794,316
A00795,1393
A00796,299
A00797,901
A00799,2834
A00800,1878
A00801,646
A00802,821
A00803,462
A00804,1209
A00805,13574
A00806,10980
A00807,23346
A00808,5103
A00809,1254
A00810,22815
A00811,28982
A00812,11506
A00814,313
A00815,166
A00816,48859
A00817,195956
A00818,15427
A00819,23029
A00821,10030
A00823,64497
A00824,9216
A00825,3738
A00826,48787
A00827,2145
A00828,2299
A00829,4068
A00830,972
A00831,1445
A00832,942
A00834,964
A00835,1824
A00836,745
A00837,927
A00838,1243
A00839,1180
A00840,22982
A00841,12469
A00842,616
A00843,2465
A00844,992
A00847,3294
A00848,2280
A00849,3624
A00850,11477
A00851,5881
A00853,114
A00854,101
A00855,2787
A00859,17963
A00862,12562
A00866,1010
A00867,147
A00868,448
A00869,188
A00870,191
A00872,388
A00875,99
A00876,3412
A00877,470
A00878,355
