arrid,arrname,arrgeopoint,zdaid,lat_left,lon_left,geometry,lon_right,lat_right,temperature
27217,Notre-Dame-des-Champs,"48.844946460453706, 2.3285394315278274",473660,48.844946460453706,2.3285394315278274,POINT (2.3285394315278274 48.844946460453706),2.3424,48.849,24.677244
26768,Sèvres - Babylone,"48.85121120759162, 2.32626460799192",473751,48.85121120759162,2.32626460799192,POINT (2.32626460799192 48.85121120759162),2.3424,48.849,24.677244
483454,République,"48.86804667419043, 2.3639992362226123",473756,48.86804667419043,2.3639992362226123,POINT (2.3639992362226123 48.86804667419043),2.3754,48.872,24.465027
491713,Porte de la Chapelle,"48.89874641603782, 2.358318097755822",473460,48.89874641603782,2.358318097755822,POINT (2.358318097755822 48.89874641603782),2.3744,48.895,24.293255
41401,Châtelet,"48.85830276609441, 2.3482122590206136",463834,48.85830276609441,2.3482122590206136,POINT (2.3482122590206136 48.85830276609441),2.3424,48.849,24.677244
490900,Gare du Nord,"48.88138469920877, 2.3574275258053436",473224,48.88138469920877,2.3574275258053436,POINT (2.3574275258053436 48.88138469920877),2.3413,48.872,24.605782
486056,Châtelet,"48.8569858196389, 2.3508046933201214",463834,48.8569858196389,2.3508046933201214,POINT (2.3508046933201214 48.8569858196389),2.3424,48.849,24.677244
427981,Saint-Michel - Saint-Germain,"48.853054950292055, 2.3440803568167725",473896,48.853054950292055,2.3440803568167725,POINT (2.3440803568167725 48.853054950292055),2.3424,48.849,24.677244
463958,Invalides,"48.862073868702154, 2.314905990441803",473381,48.862073868702154,2.314905990441803,POINT (2.314905990441803 48.862073868702154),2.3072,48.871,24.38513
25334,Lycée Claude Monet,"48.82727173948135, 2.3626713729352464",45294,48.82727173948135,2.3626713729352464,POINT (2.3626713729352464 48.82727173948135),2.3775,48.828,24.588678
491767,Boucry,"48.89489473018703, 2.359511273443937",45536,48.89489473018703,2.359511273443937,POINT (2.359511273443937 48.89489473018703),2.3744,48.895,24.293255
39393,Gare de Lyon,"48.84341282278346, 2.37411045767112",473219,48.84341282278346,2.37411045767112,POINT (2.37411045767112 48.84341282278346),2.3765,48.85,24.665602
40771,Département - Marx Dormoy,"48.88709029147033, 2.359825466227999",42838,48.88709029147033,2.359825466227999,POINT (2.359825466227999 48.88709029147033),2.3744,48.895,24.293255
427757,Rosa Parks,"48.8959411670652, 2.3737244929987327",473485,48.8959411670652,2.3737244929987327,POINT (2.3737244929987327 48.8959411670652),2.3744,48.895,24.293255
26721,Porte de la Chapelle,"48.89756290231375, 2.3589874066616634",473460,48.89756290231375,2.3589874066616634,POINT (2.3589874066616634 48.89756290231375),2.3744,48.895,24.293255
24259,Pont de Neuilly - Métro,"48.88517566196875, 2.2586635399406996",473678,48.88517566196875,2.2586635399406996,POINT (2.2586635399406996 48.88517566196875),2.272,48.893,24.27547
474450,Beauséjour,"48.92454122262914, 2.2648717140064356",50667,48.92454122262914,2.2648717140064356,POINT (2.2648717140064356 48.92454122262914),2.2709,48.915,24.257711
474449,Gramme,"48.92495983386862, 2.267144906762406",50666,48.92495983386862,2.267144906762406,POINT (2.267144906762406 48.92495983386862),2.2709,48.915,24.257711
464023,Arago - Saint Jacques,"48.83451284598267, 2.3364256402782613",463999,48.83451284598267,2.3364256402782613,POINT (2.3364256402782613 48.83451284598267),2.3434,48.827,24.336317
17255,Paul Bert,"48.75359006586183, 2.4297599055768617",45731,48.75359006586183,2.4297599055768617,POINT (2.4297599055768617 48.75359006586183),2.4147,48.761,24.359207
17371,Auberge de la jeunesse,"48.75894617459932, 2.423212427735739",54930,48.75894617459932,2.423212427735739,POINT (2.423212427735739 48.75894617459932),2.4147,48.761,24.359207
